indicator_code,indicator_name,country_code,country_name,year,value,source,collection_time,collection_date,collector_class
SP.POP.TOTL,"Population, total",BJ,Benin,1982,4156596.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1981,4038307.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1980,3925251.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1979,3818528.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1978,3718305.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1977,3623202.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1976,3532196.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1975,3445407.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1974,3362633.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1973,3283496.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1972,3207543.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1971,3134767.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1970,3065057.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1969,2998222.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1968,2934257.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1967,2872997.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1966,2814317.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1965,2757936.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1964,2704003.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1963,2652908.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1962,2604659.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1961,2559223.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1960,2517286.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2024,21482643720.2743,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2023,19673290995.8491,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2022,17425405083.8797,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2021,17687623534.6665,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2020,15686741893.5187,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2019,14391686313.4641,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2018,14262408089.9261,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2017,12701655836.9467,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2016,11821065853.3838,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2015,11388160996.7738,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2014,13284527846.9081,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2013,12517845123.9315,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2012,11141358115.8991,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2011,10693321363.6574,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2010,9535345015.78355,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2009,9738626517.00319,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2008,9787734526.23965,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2007,8169048382.83875,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2006,7034111314.88812,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
