indicator_code,indicator_name,country_code,country_name,year,value,source,collection_date
SL.TLF.TOTL.IN,"Labor force, total",BJ,Benin,2016,4901776.0,WORLD BANK API,2025-09-22
SL.TLF.TOTL.IN,"Labor force, total",BJ,Benin,2015,4727555.0,WORLD BANK API,2025-09-22
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",BJ,Benin,2024,,WORLD BANK API,2025-09-22
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",BJ,Benin,2023,4.556,WORLD BANK API,2025-09-22
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",BJ,Benin,2022,4.634,WORLD BANK API,2025-09-22
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",BJ,Benin,2021,4.707,WORLD BANK API,2025-09-22
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",BJ,Benin,2020,4.795,WORLD BANK API,2025-09-22
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",BJ,Benin,2019,4.9,WORLD BANK API,2025-09-22
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",BJ,Benin,2018,5.031,WORLD BANK API,2025-09-22
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",BJ,Benin,2017,5.155,WORLD BANK API,2025-09-22
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",BJ,Benin,2016,5.254,WORLD BANK API,2025-09-22
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",BJ,Benin,2015,5.32,WORLD BANK API,2025-09-22
