0,source_url,table_index,collection_date,Survey,Type,Phase,Recode,Survey Datasets,GPS Datasets,HIV/Other Biomarkers Datasets,SPA Datasets,1,2,3,4,Nom du fichier,Taille,Date,Lun,Mar,Mer,Jeu,Ven,Sam,Dim
Population Counts,https://hub.worldpop.org/project/categories?id=3,0,2025-09-22,,,,,,,,,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,0,2025-09-22,Afghanistan 2018-19,SPA,DHS-7,--,Not Applicable,Data Available,Not Collected,Data Available,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,0,2025-09-22,Afghanistan 2015,Standard DHS,DHS-7,DHS-7,Data Available,Not Distributed,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,0,2025-09-22,Afghanistan 2010 (1),Special,DHS-VI,--,Data Available,Not Collected,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,1,2025-09-22,Albania 2017-18,Standard DHS,DHS-7,DHS-7,Data Available,Data Available,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,1,2025-09-22,Albania 2008-09,Standard DHS,DHS-V,DHS-V,Data Available,Data Available,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,2,2025-09-22,Angola 2015-16,Standard DHS,DHS-7,DHS-7,Data Available,Data Available,Data Available,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,2,2025-09-22,Angola 2011,MIS,DHS-VI,DHS-V,Data Available,Data Available,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,2,2025-09-22,Angola 2006-07,MIS,DHS-V,DHS-V,Data Available,Data Available,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,3,2025-09-22,Armenia 2015-16,Standard DHS,DHS-7,DHS-7,Data Available,Data Available,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,3,2025-09-22,Armenia 2010,Standard DHS,DHS-VI,DHS-VI,Data Available,Data Available,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,3,2025-09-22,Armenia 2005,Standard DHS,DHS-V,DHS-IV,Data Available,Not Distributed,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,3,2025-09-22,Armenia 2000,Standard DHS,DHS-IV,DHS-IV,Data Available,Not Collected,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://dhsprogram.com/data/available-datasets.cfm,4,2025-09-22,Azerbaijan 2006,Standard DHS,DHS-V,DHS-V,Data Available,Not Collected,Not Collected,Not Applicable,,,,,,,,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,0,2025-09-22,,,,,,,,,,,English (United Kingdom)Français (France),Veuillez activer le javascript sur cette page pour pouvoir valider le formulaire,,,,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,1,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT_2T2025.pdf,668.48 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,1,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT1T2025.pdf,651.57 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,2018,2018,2018.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,Série_PIB_Trimestriel_2018_2021.xlsx,19.16 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,2019,2019,2019.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,Les comptes nationaux du 2ième trimestre 2019.pdf,1.94 MB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,INSAE_Note_CNT_au_4T2019.pdf,2.36 MB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,2022,2022,2022.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,Synthese_CNT_2022T3.xlsx,25.4 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT_au_3T2022.pdf,598.82 KB,2024.0,,,,,,,
